,llm_result
10001,"""GET VAERS/_search
{
  ""size"": 0,
  ""aggs"": {
    ""count"": {
      ""cardinality"": {
        ""field"": ""VAERS_ID.keyword""
      }
    }
  }"
10006,"""GET VAERS/_search
{
  ""size"": 0,
  ""aggs"": {
    ""count"": {
      ""cardinality"": {
        ""field"": ""VAERS_ID.keyword""
      }
    }
  }"
10013,"""GET VAERS/_search
{
  ""size"": 0,
  ""aggs"": {
    ""count"": {
      ""cardinality"": {
        ""field"": ""VAERS_ID.keyword""
      }
    }
  }"
10017,"""GET VAERS/_search
{
  ""size"": 0,
  ""aggs"": {
    ""count"": {
      ""cardinality"": {
        ""field"": ""VAERS_ID.keyword""
      }
    }
  }"
10019,"""GET VAERS/_search
{
  ""size"": 0,
  ""aggs"": {
    ""count"": {
      ""cardinality"": {
        ""field"": ""VAERS_ID.keyword""
      }
    }
  }"
10051,"""GET VAERS/_search
{
  ""size"": 0,
  ""aggs"": {
    ""count"": {
      ""cardinality"": {
        ""field"": ""VAERS_ID.keyword""
      }
    }
  }"
10058,"""GET VAERS/_search
{
  ""size"": 0,
  ""aggs"": {
    ""count"": {
      ""value_count"": {
        ""field"": ""_id""
      }
    }
  },
  ""stored_"
10060,"""GET VAERS/_search
{
  ""size"": 0,
  ""aggs"": {
    ""count"": {
      ""cardinality"": {
        ""field"": ""VAERS_ID.keyword""
      }
    }
  }"
10063,"""GET VAERS/_search
{
  ""size"": 0,
  ""aggs"": {
    ""count"": {
      ""cardinality"": {
        ""field"": ""VAERS_ID.keyword""
      }
    }
  }"
10078,"""GET VAERS/_search
{
  ""size"": 0,
  ""aggs"": {
    ""count"": {
      ""cardinality"": {
        ""field"": ""VAERS_ID.keyword""
      }
    }
  }"
10086,"""GET VAERS/_search
{
  ""size"": 0,
  ""aggs"": {
    ""count"": {
      ""value_count"": {
        ""field"": ""_id""
      }
    }
  },
  ""stored_"
1010,"""POST _scripts/1
{
  ""script"": {
    ""lang"": ""mustache"",
    ""source"": {
      ""track_total_hits"": ""true"",
      ""query"": {
        ""bool"": {
          ""filter"
10119,"""POST _scripts/1
{
  ""script"": {
    ""lang"": ""mustache"",
    ""source"": {
      ""track_total_hits"": ""true"",
      ""query"": {
        ""bool"": {
          ""filter"
1012,"""POST _scripts/1
{
  ""script"": {
    ""lang"": ""mustache"",
    ""source"": {
      ""track_total_hits"": ""true"",
      ""query"": {
        ""bool"": {
          ""filter"
10127,"""POST _scripts/1
{
  ""script"": {
    ""lang"": ""mustache"",
    ""source"": {
      ""track_total_hits"": ""true"",
      ""query"": {
        ""bool"": {
          ""should"
1013,"""POST _scripts/1
{
  ""script"": {
    ""lang"": ""mustache"",
    ""source"": {
      ""track_total_hits"": ""true"",
      ""query"": {
        ""bool"": {
          ""filter"
10130,"""POST _scripts/1
{
  ""script"": {
    ""lang"": ""mustache"",
    ""source"": {
      ""track_total_hits"": ""true"",
      ""query"": {
        ""bool"": {
          ""filter"
10138,"""POST _scripts/1
{
  ""script"": {
    ""lang"": ""mustache"",
    ""source"": {
      ""track_total_hits"": ""true"",
      ""query"": {
        ""bool"": {
          ""should"
10145,"""GET _search
{
  ""size"": 0,
  ""aggs"": {
    ""flux"": {
      ""filter"": {
        ""bool"": {
          ""must"": [
            {
              ""match"": {
                ""CLIN"
10147,"""GET _search
{
  ""size"": 0,
  ""aggs"": {
    ""pnc15"": {
      ""filter"": {
        ""bool"": {
          ""must"": [
            {
              ""match"": {"
